Field,Missing_Count,Missing_Percent
YEAR,0,0
MONTH,0,0
DAY_OF_MONTH,0,0
FL_DATE,0,0
OP_UNIQUE_CARRIER,0,0
OP_CARRIER_AIRLINE_ID,0,0
TAIL_NUM,8962,0.37
OP_CARRIER_FL_NUM,0,0
ORIGIN_AIRPORT_ID,0,0
ORIGIN,0,0
DEST_AIRPORT_ID,0,0
DEST,0,0
CRS_DEP_TIME,0,0
DEP_TIME,70091,2.92
DEP_DELAY,70267,2.93
DEP_DELAY_NEW,70267,2.93
DEP_DEL15,70267,2.93
CRS_ARR_TIME,0,0
ARR_TIME,73495,3.06
ARR_DELAY,79137,3.3
ARR_DELAY_NEW,79137,3.3
ARR_DEL15,79137,3.3
CANCELLED,0,0
CANCELLATION_CODE,2325273,96.95
DIVERTED,0,0
CARRIER_DELAY,1913457,79.78
WEATHER_DELAY,1913457,79.78
NAS_DELAY,1913457,79.78
LATE_AIRCRAFT_DELAY,1913457,79.78
DIV1_AIRPORT,2392312,99.75
DIV1_AIRPORT_ID,2392312,99.75
flight_time,70091,2.92
flight_hour,70091,2.92
